J_Gene,Background_Freq,Top_Freq,Fold_Enrichment
TRBJ2-2,7.013612425615731,8.200000000000001,1.1691549949425835
TRBJ2-7,17.96865219459676,20.3,1.1297452797324603
TRBJ2-3,11.023477469808125,12.4,1.1248718958207147
TRBJ2-1,15.781149586452672,15.9,1.0075311632334665
TRBJ1-6,2.9945667142392147,3.0,1.001814381270903
TRBJ1-4,3.052154535666892,3.0,0.9829122231337161
TRBJ2-5,9.326723252960765,9.1,0.9756910067114093
TRBJ1-3,2.613569026098133,2.5,0.9565463835222737
TRBJ1-2,8.733318310423396,8.1,0.9274825114678898
TRBJ2-4,1.3049066493068595,1.2,0.9196060121522226
TRBJ1-5,5.728736322892411,5.0,0.8727928321678322
TRBJ1-1,12.976455761703265,10.5,0.809157769488037
TRBJ2-6,1.4826777502357762,0.8,0.5395643118491416
